,NU_INSCRICAO,NU_NOTA_MT
0,73ff9fcc02f0a99919906c942c2e1a1042cdcf98,425.2
1,71a95f9f1b91a82c65ad94abbdf9f54e6066f968,0.0
2,b38a03232f43b11c9d0788abaf060f7366053b6d,439.0
3,70b682d9a3636be23f6120fa9d6b164eb3c6002d,874.1
4,715494628a50142ce8cb17191cfe6d0f3cae0934,0.0
5,e656d6bad65c93fb2880f1eba5037008c8e75774,432.6
6,465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,398.2
7,11539e86171bf07d3a36f09377d7f54ebcc8406a,438.0
8,043c544a2104aa8a9849f1a703a08d37a2f16839,480.0
9,76ba050e64ad100b856f0eaabd8f539d5c7dd185,0.0
10,8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,0.0
11,db4da599aab5bb08dce27094a35fd3e36cd0abce,375.0
12,940aede382ccb332fab15d413217695ec44ca765,766.9
13,9ad714b116da76d878dd399d187fccc2dd13dd63,376.8
14,dd34464a4d780b12a089347ad580418ac57a3055,380.7
15,f837a4cb05a5fd59d20138182f5e8c721eadd584,411.2
16,fbfa8cde21a692b51fb86342110b4a334a0fcfdb,425.5
17,ca8477c8493b09f34d17bb287f9bacf2dd744c32,460.5
18,8b0c675d7fde14953668269d378c588f0df0498b,579.4
19,051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,0.0
20,3d203727f27abd83b71732d88d8cb1cc099f363b,340.7
21,d30d31c8ff45094e9a992c63d4a6f68b245a341a,512.7
22,c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,422.7
23,cbc301183dec912f3513ca766bf03dd565f3a38f,398.1
24,856aa14bcd11bd289a3b970aab0ce1b166f2c50f,0.0
25,11282da1ee78c8db45a041db4c744e33df489df0,495.4
26,03c67f683a415c2ea09b582248bd4cb08528c19d,402.5
27,046e844fb06a07ba30b41521f0065a8d9c6e5024,0.0
28,b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,527.3
29,153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,0.0
30,a4e821c6f16fdae0a26cbbb7018b75812dfd074b,578.9
31,f66c2e5ff22a95fa532e78c7c4bf1d145247211d,529.5
32,17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,410.7
33,fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,501.1
34,a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,0.0
35,f8d4f9a26c5f2023c33701a8888f9c02513a02c7,539.1
36,9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,0.0
37,59bfa081e020013410d9f60f91813964ba749bb2,365.3
38,f5e069ee3bc95998464e8ff5da048b7f999921ed,451.0
39,e02240b518016d03a1b5bcc6d0a37b7a527ea93d,347.2
40,664f44258212a1f7e4086f2b4845d586c543fa3f,0.0
41,265cd7befa74a9f2a198fc57baec9858075f8419,479.7
42,6f9ac44919bbd204e0ef15185388fd2d4bc61253,528.3
43,78de1ee60b55766cc3eba4089e36c57139b66ebd,523.8
44,24550edb10f283ef4e953fd6a8fedbfa211bd456,0.0
45,1e61a474acdc043eb39a89c17fab34bd2ea1a940,461.8
46,940af68ded6af2875708611051aa7ff3f134d80b,385.1
