,NU_NOTA_CN,IN_IDOSO,Q026,TP_STATUS_REDACAO,IN_CEGUEIRA,Q006,NU_NOTA_LC,NU_NOTA_COMP1,Q002,NU_NOTA_COMP2,TP_LINGUA,IN_DISCALCULIA,TP_SEXO,TP_PRESENCA_LC,NU_NOTA_COMP3,Q047,NU_NOTA_CH,Q001,TP_ESCOLA,CO_UF_RESIDENCIA,IN_TREINEIRO,NU_INSCRICAO,TP_NACIONALIDADE,NU_NOTA_COMP4,Q025,TP_COR_RACA,IN_SURDEZ,TP_PRESENCA_CN,NU_NOTA_COMP5,TP_PRESENCA_CH,TP_ST_CONCLUSAO,NU_NOTA_REDACAO,IN_DISLEXIA,IN_SABATISTA,IN_BAIXA_VISAO,TP_ANO_CONCLUIU,IN_GESTANTE,Q024,NU_IDADE,NU_NOTA_MT
0,436.3,0,C,1.0,0,C,581.2,120.0,D,120.0,1,0,M,1,120.0,A,495.4,D,1,43,0,ed50e8aaa58e7a806c337585efee9ca41f1eb1ad,1,80.0,A,1,0,1,80.0,1,1,520.0,0,0,0,4,0,A,24,399.4
1,474.5,0,A,1.0,0,B,599.0,140.0,A,120.0,1,0,F,1,120.0,A,544.1,A,2,23,0,2c3acac4b33ec2b195d77e7c04a2d75727fad723,1,120.0,A,3,0,1,80.0,1,2,580.0,0,0,0,0,0,A,17,459.8
2,0.0,0,A,0.0,0,C,0.0,0.0,D,0.0,1,0,F,0,0.0,A,0.0,D,1,23,0,f4545f8ccb9ff5c8aad7d32951b3f251a26e6568,1,0.0,A,3,0,0,0.0,0,3,0.0,0,0,0,0,0,A,21,0.0
3,0.0,0,C,0.0,0,E,0.0,0.0,E,0.0,0,0,F,0,0.0,D,0.0,H,1,33,0,3d6ec248fef899c414e77f82d5c6d2bffbeaf7fe,1,0.0,B,0,0,0,0.0,0,1,0.0,0,0,0,9,0,C,25,0.0
4,0.0,0,B,0.0,0,C,0.0,0.0,D,0.0,1,0,M,0,0.0,A,0.0,E,1,13,0,bf896ac8d3ecadd6dba1dfbf50110afcbf5d3268,1,0.0,A,2,0,0,0.0,0,1,0.0,0,0,0,4,0,A,28,0.0
5,439.7,0,A,1.0,0,C,410.9,120.0,E,120.0,0,0,F,1,120.0,A,583.2,E,1,29,0,a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1,1,160.0,B,1,0,1,100.0,1,1,620.0,0,0,0,1,0,B,18,364.5
6,420.1,0,C,1.0,0,C,484.5,100.0,D,120.0,0,0,F,1,120.0,A,604.2,E,2,51,0,63b4e128e9ffe8ab27f5d093db1976ef4f353e0a,1,120.0,B,3,0,1,100.0,1,2,560.0,0,0,0,0,0,B,18,529.2
7,619.6,0,A,1.0,0,L,611.2,140.0,F,120.0,0,0,F,1,120.0,D,625.8,G,1,43,0,2eb189d4912f64b19d1967e8e84b6141aba18770,1,120.0,B,1,0,1,120.0,1,1,620.0,0,0,0,1,0,B,18,566.7
8,500.5,0,A,1.0,0,B,521.8,140.0,E,160.0,1,0,F,1,140.0,A,555.2,H,2,26,0,5822cb43e0800429be2084b3f86a63aaa73fa66c,1,140.0,B,3,0,1,100.0,1,2,680.0,0,0,0,0,0,A,16,372.4
9,0.0,0,B,0.0,0,G,0.0,0.0,E,0.0,0,0,M,0,0.0,A,0.0,H,1,31,0,94f7e277f87cd58e10a45da4ad5dd168651cf3ef,2,0.0,B,4,0,0,0.0,0,4,0.0,0,0,0,0,0,B,24,0.0
10,413.4,0,C,1.0,0,B,533.9,100.0,B,100.0,1,0,F,1,100.0,A,407.9,A,1,26,0,3c44449ad09dc6a72c77c3bd3b5fd06a6d3f66e8,1,100.0,A,3,0,1,120.0,1,1,520.0,0,0,0,8,0,A,29,419.6
11,503.4,0,A,1.0,0,B,490.1,120.0,E,160.0,1,0,F,1,120.0,A,509.6,D,2,21,0,6f721ecb245bd74eaeda78b8d8135e8adeba6dc0,1,120.0,A,3,0,1,60.0,1,2,580.0,0,0,0,0,0,A,17,369.9
12,402.6,0,B,1.0,0,B,599.0,120.0,E,80.0,0,0,M,1,40.0,A,556.9,B,1,43,0,70b1dacb515d1aecead8a53cb465a70fda4b62b6,1,120.0,A,3,0,1,0.0,1,1,360.0,0,0,0,7,0,C,27,464.2
13,0.0,0,C,0.0,0,C,0.0,0.0,D,0.0,0,0,F,0,0.0,A,0.0,D,1,23,0,8570b9be0b2b629d00743d0de77cd95a84a46fbc,1,0.0,B,3,0,0,0.0,0,1,0.0,0,0,0,2,0,B,19,0.0
14,477.8,0,A,1.0,0,A,511.9,100.0,A,60.0,0,0,M,1,60.0,A,462.9,B,1,24,0,67a173ad63a2a3f77c8905b49e83084b7c1cd6b0,1,80.0,A,3,0,1,60.0,1,1,360.0,0,0,0,2,0,A,18,453.4
15,0.0,0,C,0.0,0,C,0.0,0.0,D,0.0,0,0,F,0,0.0,A,0.0,D,1,50,0,4e17008781ab3d721804ffe992884f86c37dcb4c,1,0.0,A,3,0,0,0.0,0,1,0.0,0,0,0,1,0,A,18,0.0
16,561.8,0,C,1.0,0,J,596.5,160.0,G,160.0,0,0,M,1,160.0,D,640.8,F,1,41,1,6118b53a6c928609d5ec78f7b6ae463ee3f766e3,1,160.0,B,1,0,1,80.0,1,3,720.0,0,0,0,0,0,B,16,480.4
17,474.4,0,C,1.0,0,B,517.4,120.0,A,80.0,1,0,F,1,80.0,A,540.0,A,2,21,0,036bce628d802e0da1fc727057dd40e979a03ac3,1,120.0,A,2,0,1,60.0,1,2,460.0,0,0,0,0,0,A,24,402.4
18,395.5,0,A,1.0,0,B,569.5,100.0,C,120.0,1,0,M,1,80.0,A,425.2,D,1,15,0,e2550a9dbfe4dfa31af61ab8cbdd08de283fd7ba,1,100.0,A,3,0,1,120.0,1,1,520.0,0,0,0,1,0,A,20,475.8
19,393.3,0,B,0.0,0,D,0.0,0.0,G,0.0,1,0,F,0,0.0,A,429.6,B,1,31,0,fa8d39d295f07f351cbff175dcfe01a4cbb49ca3,1,0.0,B,3,0,1,0.0,1,4,0.0,0,0,0,0,0,A,21,0.0
20,471.9,0,A,1.0,0,C,588.2,160.0,B,140.0,1,0,F,1,160.0,A,628.0,C,2,31,0,bedf9d4bf2c29669d24ef9ed9fa4bb6b8a2b574b,1,140.0,A,1,0,1,180.0,1,2,780.0,0,0,0,0,0,A,18,518.0
